id,category,name,obtained_from,source_type,additional,local_pos,local_neg,formula,fixedmass,netcharge,inspected_by,inspected_on
1671,2,Perfluorooctyl iodide,https://comptox.epa.gov/dashboard,1,NA,0,0,C8F17I,545.8773277,0,,
1672,2,Heptadecafluorooctyl prop-2-enoate,https://comptox.epa.gov/dashboard,1,NA,0,0,C11H3F17O2,489.9861591,0,,
1673,2,Bis(heptadecafluorooctyl) 2-methylidenebutanedioate,https://comptox.epa.gov/dashboard,1,NA,0,0,C21H4F34O4,965.9566681,0,,
1674,2,2-[[3-[(Perfluorooctyl)sulfonyl]propyl]amino]ethyl-2-propenoate,https://comptox.epa.gov/dashboard,1,NA,0,0,C16H14F17NO4S,639.0372087,0,,
1675,2,"1-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctane-1-sulfonyl)piperazine",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H9F17N2O2S,568.0113283,0,,
1676,2,"4-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctane-1-sulfonyl)morpholine",https://comptox.epa.gov/dashboard,1,NA,0,0,C12H8F17NO3S,568.9953439,0,,
1677,2,"N-(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctane-1-sulfonyl)benzamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C15H6F17NO3S,602.9796938,0,,
1678,2,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-N-(2-oxocyclooctyl)octane-1-sulfonamide",https://comptox.epa.gov/dashboard,1,NA,0,0,C16H14F17NO3S,623.042294,0,,
1679,2,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-2-propenyl-",https://comptox.epa.gov/dashboard,1,NA,0,0,C11H6F17NO2S,538.9847792,0,,
1680,2,"1-Octanesulfonamide, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-N-(phenylmethyl)-",https://comptox.epa.gov/dashboard,1,NA,0,0,C15H8F17NO2S,589.0004292,0,,
1681,2,2-[(Perfluorooctane-1-sulfonyl)amino]ethyl prop-2-enoate,https://comptox.epa.gov/dashboard,1,NA,0,0,C13H8F17NO4S,596.9902585,0,,
1682,2,Bis(Perfluorooctylsulfonyl)amine,https://comptox.epa.gov/dashboard,1,NA,0,0,C16HF34NO4S2,980.880409,0,,
1683,2,Perfluoro-1-octanesulfonyl chloride,https://comptox.epa.gov/dashboard,1,NA,0,0,C8ClF17O2S,517.9036077,0,,
1684,2,Perfluorooctanesulfonyl fluoride,https://comptox.epa.gov/dashboard,1,NA,0,0,C8F18O2S,501.9331582,0,,
1685,2,(Perfluoroheptyl)ethene,https://comptox.epa.gov/dashboard,1,NA,0,0,C9H3F15,395.9995234,0,,
1686,2,"(8E)-1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-Triacontafluorohexadec-8-ene",https://comptox.epa.gov/dashboard,1,NA,0,0,C16H2F30,763.9677467,0,,
1687,2,AC1LBTUH,https://comptox.epa.gov/dashboard,1,NA,0,0,C16H10F15N,501.0573726,0,,
1688,2,Perfluorooctanal,https://comptox.epa.gov/dashboard,1,NA,0,0,C8HF15O,397.978788,0,,
1689,2,p-(Pentadecafluoroheptyl)benzenesulphonyl chloride,https://comptox.epa.gov/dashboard,1,NA,0,0,C13H4ClF15O2S,543.9381013,0,,
1690,2,5-(Pentadecafluoroheptyl)-1H-imidazole,https://comptox.epa.gov/dashboard,1,NA,0,0,C10H3F15N2,436.0056714,0,,
1691,2,"2,4,6-Tris(pentadecafluoroheptyl)-1,3,5-triazine",https://comptox.epa.gov/dashboard,1,NA,0,0,C24F45N3,1184.937367,0,,
1692,2,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,14,14,15,15,16,16,17,17,18,18,19,19,20,20,20-Triacontafluoro-9,12-diiodoicosane",https://comptox.epa.gov/dashboard,1,NA,0,0,C20H10F30I2,1073.839293,0,,
1693,2,"2-(2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl)oxirane",https://comptox.epa.gov/dashboard,1,NA,0,0,C10H5F15O,426.0100881,0,,
1694,2,"1-Iodo-1H,1H,2H,2H-perfluorononane",https://comptox.epa.gov/dashboard,1,NA,0,0,C9H4F15I,523.9118214,0,,
